Date,Tiempo,Lat,Long,Altitude,Speed
3/25/2023,8:57:13,-12.1123304367,-76.9387283325,325.30,4.54
3/25/2023,8:57:16,-12.1123695373,-76.9386978149,325.30,4.54
3/25/2023,8:57:19,-12.1124095916,-76.9386672973,324.80,4.54
3/25/2023,8:57:22,-12.1124401092,-76.9386367797,324.80,3.15
3/25/2023,8:57:25,-12.1124801635,-76.9386062622,324.20,3.15
3/25/2023,8:57:28,-12.1125202178,-76.9385986328,325.10,3.15
3/25/2023,8:57:31,-12.1125497817,-76.9385681152,326.40,3.15
3/25/2023,8:57:34,-12.1125898361,-76.9385375976,325.80,3.15
3/25/2023,8:57:37,-12.1126203536,-76.9385223388,326.60,3.15
3/25/2023,8:57:40,-12.1126604080,-76.9384918212,328.60,3.15
3/25/2023,8:57:43,-12.1127004623,-76.9384613037,329.90,3.15
3/25/2023,8:57:46,-12.1127300262,-76.9384384155,329.50,3.15
3/25/2023,8:57:49,-12.1127700805,-76.9384231567,330.20,3.15
3/25/2023,8:57:52,-12.1127996444,-76.9383926391,330.20,3.52
3/25/2023,8:57:55,-12.1128301620,-76.9383468627,332.60,3.52
3/25/2023,8:57:58,-12.1128702163,-76.9383392333,334.50,3.52
3/25/2023,8:58:1,-12.1128997802,-76.9383087158,335.90,3.52
3/25/2023,8:58:4,-12.1129302978,-76.9382781982,335.90,5.74
3/25/2023,8:58:7,-12.1129598617,-76.9382400512,335.90,3.85
3/25/2023,8:58:10,-12.1129999160,-76.9382171630,337.90,3.85
3/25/2023,8:58:13,-12.1130304336,-76.9381790161,337.90,4.78
3/25/2023,8:58:16,-12.1130599975,-76.9381484985,338.70,4.78
3/25/2023,8:58:19,-12.1131000518,-76.9381103515,339.00,4.78
3/25/2023,8:58:22,-12.1131296157,-76.9380798339,339.00,3.72
3/25/2023,8:58:25,-12.1131696701,-76.9380569458,340.10,3.72
3/25/2023,8:58:28,-12.1132001876,-76.9380264282,340.10,5.87
3/25/2023,8:58:31,-12.1132402420,-76.9380035400,340.70,5.87
3/25/2023,8:58:34,-12.1132698059,-76.9379730224,340.80,5.87
3/25/2023,8:58:37,-12.1133098602,-76.9379272460,340.80,3.78
3/25/2023,8:58:40,-12.1133499145,-76.9378967285,342.60,3.78
3/25/2023,8:58:43,-12.1133804321,-76.9378662109,343.20,3.78
3/25/2023,8:58:46,-12.1134195327,-76.9378433227,343.70,3.78
3/25/2023,8:58:49,-12.1134500503,-76.9378128051,344.20,3.78
3/25/2023,8:58:52,-12.1134796142,-76.9377822875,344.20,4.59
3/25/2023,8:58:55,-12.1135196685,-76.9377517700,346.40,4.59
3/25/2023,8:58:58,-12.1135597229,-76.9377212524,347.30,4.59
3/25/2023,8:59:1,-12.1135902404,-76.9376983642,347.80,4.59
3/25/2023,8:59:4,-12.1136198043,-76.9376602172,348.00,4.59
3/25/2023,8:59:7,-12.1136598587,-76.9376296997,349.20,4.59
3/25/2023,8:59:10,-12.1136999130,-76.9375991821,350.00,4.59
3/25/2023,8:59:13,-12.1137304306,-76.9375686645,349.70,4.59
3/25/2023,8:59:16,-12.1137695312,-76.9375381469,350.30,4.59
3/25/2023,8:59:19,-12.1138000488,-76.9375228881,350.70,4.59
3/25/2023,8:59:22,-12.1138200759,-76.9375000000,350.80,4.59
3/25/2023,8:59:44,-12.1140499114,-76.9373168945,353.10,6.30
3/25/2023,8:59:47,-12.1140899658,-76.9372863769,353.10,5.78
3/25/2023,8:59:50,-12.1141195297,-76.9372634887,351.40,5.78
3/25/2023,8:59:53,-12.1141595840,-76.9372177124,348.70,5.78
3/25/2023,8:59:56,-12.1141901016,-76.9371719360,347.80,5.78
3/25/2023,8:59:59,-12.1142101287,-76.9371109008,348.90,5.78
3/25/2023,9:0:2,-12.1142396926,-76.9370574951,348.90,5.32
3/25/2023,9:0:5,-12.1142301559,-76.9370117187,353.30,5.32
3/25/2023,9:0:8,-12.1141901016,-76.9369583129,355.00,5.32
3/25/2023,9:0:11,-12.1141595840,-76.9369125366,356.20,5.32
3/25/2023,9:0:14,-12.1141195297,-76.9368515014,357.70,5.32
3/25/2023,9:0:17,-12.1140899658,-76.9368209838,359.30,5.32
3/25/2023,9:0:20,-12.1140604019,-76.9367675781,360.70,5.32
3/25/2023,9:0:23,-12.1140203475,-76.9367218017,360.50,5.32
3/25/2023,9:0:26,-12.1139802932,-76.9366683959,361.40,5.32
3/25/2023,9:0:29,-12.1139497756,-76.9366302490,362.10,5.32
3/25/2023,9:0:31,-12.1139297485,-76.9365997314,362.10,6.78
3/25/2023,9:0:35,-12.1138896942,-76.9365386962,361.80,6.78
3/25/2023,9:0:38,-12.1138601303,-76.9364776611,360.80,6.78
3/25/2023,9:0:41,-12.1138401031,-76.9364318847,360.40,6.78
3/25/2023,9:0:44,-12.1138496398,-76.9363784790,359.40,6.78
3/25/2023,9:0:47,-12.1138801574,-76.9363708496,358.60,6.78
3/25/2023,9:0:50,-12.1139097213,-76.9364089965,357.00,6.78
3/25/2023,9:0:53,-12.1139497756,-76.9364700317,354.90,6.78
3/25/2023,9:0:56,-12.1139898300,-76.9365234375,352.90,6.78
3/25/2023,9:0:59,-12.1140298843,-76.9365768432,351.70,6.78
3/25/2023,9:1:2,-12.1140604019,-76.9366226196,351.90,6.78
3/25/2023,9:1:5,-12.1141004562,-76.9366683959,351.50,6.78
3/25/2023,9:1:8,-12.1141395568,-76.9367294311,350.50,6.78
