Date,Tiempo,Lat,Long,Altitude,Speed
0/0/2000,9:29:40,-12.1168403625,-76.9375305175,-8.70,18520000.00
0/0/2000,9:29:43,-12.1161499023,-76.9379272460,144.80,18520000.00
0/0/2000,9:29:46,-12.1164903640,-76.9377975463,78.10,18520000.00
0/0/2000,9:29:49,-12.1165199279,-76.9378204345,73.30,18520000.00
0/0/2000,9:29:52,-12.1165800094,-76.9378280639,60.50,18520000.00
0/0/2000,9:29:55,-12.1165895462,-76.9378662109,63.40,18520000.00
0/0/2000,9:29:58,-12.1166200637,-76.9379119873,64.20,18520000.00
0/0/2000,9:30:1,-12.1166400909,-76.9379501342,67.30,18520000.00
0/0/2000,9:30:4,-12.1166601181,-76.9379882812,69.50,18520000.00
0/0/2000,9:30:7,-12.1167201995,-76.9380416870,69.20,18520000.00
0/0/2000,9:30:10,-12.1167201995,-76.9381103515,78.40,18520000.00
0/0/2000,9:30:13,-12.1167497634,-76.9381484985,82.00,18520000.00
0/0/2000,9:30:16,-12.1167602539,-76.9382019042,86.60,18520000.00
0/0/2000,9:30:19,-12.1167602539,-76.9382476806,91.90,18520000.00
0/0/2000,9:30:22,-12.1167898178,-76.9383010864,94.60,18520000.00
0/0/2000,9:30:25,-12.1167898178,-76.9383621215,97.80,18520000.00
0/0/2000,9:30:28,-12.1168203353,-76.9383926391,91.30,18520000.00
0/0/2000,9:30:31,-12.1168403625,-76.9384307861,88.10,18520000.00
0/0/2000,9:30:34,-12.1168098449,-76.9384918212,94.20,18520000.00
0/0/2000,9:30:37,-12.1167802810,-76.9385375976,95.30,18520000.00
0/0/2000,9:30:40,-12.1167898178,-76.9385528564,88.00,18520000.00
0/0/2000,9:30:43,-12.1167497634,-76.9385910034,95.40,18520000.00
0/0/2000,9:30:46,-12.1167201995,-76.9386291503,100.50,18520000.00
0/0/2000,9:30:49,-12.1166200637,-76.9386978149,121.80,18520000.00
0/0/2000,9:30:52,-12.1165304183,-76.9387817382,144.80,18520000.00
0/0/2000,9:30:55,-12.1164703369,-76.9388275146,154.10,18520000.00
0/0/2000,9:30:58,-12.1164102554,-76.9388885498,161.60,18520000.00
0/0/2000,9:31:1,-12.1163301467,-76.9389572143,171.60,18520000.00
0/0/2000,9:31:4,-12.1162700653,-76.9390029907,173.60,18520000.00
0/0/2000,9:31:7,-12.1162500381,-76.9390106201,175.50,18520000.00
0/0/2000,9:31:10,-12.1162500381,-76.9389877319,164.20,18520000.00
0/0/2000,9:31:13,-12.1162500381,-76.9390106201,162.90,18520000.00
0/0/2000,9:31:16,-12.1161899566,-76.9390563964,172.70,18520000.00
0/0/2000,9:31:19,-12.1161603927,-76.9390792846,173.30,18520000.00
0/0/2000,9:31:22,-12.1161203384,-76.9391021728,176.90,18520000.00
0/0/2000,9:31:25,-12.1160001754,-76.9392089843,179.60,18520000.00
0/0/2000,9:31:28,-12.1159496307,-76.9392471313,173.20,18520000.00
0/0/2000,9:31:31,-12.1159496307,-76.9392929077,171.60,18520000.00
0/0/2000,9:31:34,-12.1159000396,-76.9393234252,169.40,18520000.00
0/0/2000,9:31:37,-12.1158599853,-76.9393463134,171.50,18520000.00
0/0/2000,9:31:40,-12.1159000396,-76.9393386840,166.80,18520000.00
0/0/2000,9:31:43,-12.1158800125,-76.9393463134,168.50,18520000.00
