Date,Tiempo,Lat,Long,Altitude,Speed
0/0/2000,9:27:12,-12.1113100051,-76.9394607543,319.80,18520000.00
0/0/2000,9:27:44,-12.1109895706,-76.9392929077,381.10,18520000.00
0/0/2000,9:27:47,-12.1111898422,-76.9392318725,354.80,18520000.00
0/0/2000,9:27:50,-12.1111202239,-76.9391708374,353.40,18520000.00
0/0/2000,9:27:53,-12.1110401153,-76.9391021728,352.00,18520000.00
0/0/2000,9:27:56,-12.1109695434,-76.9390335083,350.60,18520000.00
0/0/2000,9:27:59,-12.1108999252,-76.9389572143,349.20,18520000.00
0/0/2000,9:28:31,-12.1115798950,-76.9392013549,276.80,18520000.00
0/0/2000,9:28:37,-12.1113300323,-76.9392700195,319.80,18520000.00
0/0/2000,9:28:40,-12.1114196777,-76.9391479492,322.60,18520000.00
0/0/2000,9:28:43,-12.1114397048,-76.9391326904,321.20,18520000.00
0/0/2000,9:28:46,-12.1113901138,-76.9391326904,327.10,18520000.00
0/0/2000,9:28:49,-12.1113901138,-76.9391174316,327.80,18520000.00
0/0/2000,9:28:52,-12.1113796234,-76.9391098022,328.80,18520000.00
3/31/2023,9:28:55,-12.1113595962,-76.9391021728,328.80,2.69
3/31/2023,9:28:58,-12.1113901138,-76.9390869140,328.80,4.74
3/31/2023,9:29:1,-12.1114397048,-76.9390563964,329.00,4.74
3/31/2023,9:29:4,-12.1114501953,-76.9390029907,329.40,4.74
3/31/2023,9:29:7,-12.1114797592,-76.9389495849,330.40,4.74
3/31/2023,9:29:10,-12.1115102767,-76.9389114379,329.90,4.74
3/31/2023,9:29:13,-12.1115503311,-76.9388885498,329.10,4.74
3/31/2023,9:29:16,-12.1115703582,-76.9388580322,326.40,4.74
3/31/2023,9:29:19,-12.1115999221,-76.9388275146,325.90,4.74
3/31/2023,9:29:22,-12.1116504669,-76.9388504028,324.60,4.74
3/31/2023,9:29:25,-12.1116895675,-76.9388580322,324.70,4.74
3/31/2023,9:29:28,-12.1117296218,-76.9388732910,323.10,4.74
3/31/2023,9:29:31,-12.1117801666,-76.9388732910,322.30,4.74
3/31/2023,9:29:34,-12.1118202209,-76.9388885498,322.20,4.74
3/31/2023,9:29:37,-12.1118602752,-76.9388809204,322.50,4.74
3/31/2023,9:29:40,-12.1118803024,-76.9388198852,324.20,4.74
3/31/2023,9:29:43,-12.1119098663,-76.9387588500,324.20,1.46
3/31/2023,9:29:46,-12.1119403839,-76.9387207031,326.90,1.46
3/31/2023,9:29:49,-12.1119804382,-76.9387130737,327.20,1.46
3/31/2023,9:29:52,-12.1120195388,-76.9386825561,327.70,1.46
3/31/2023,9:29:55,-12.1120595932,-76.9386596679,328.50,1.46
3/31/2023,9:29:58,-12.1121101379,-76.9386367797,331.10,1.46
3/31/2023,9:30:1,-12.1121702194,-76.9386367797,331.80,1.46
3/31/2023,9:30:4,-12.1122102737,-76.9386367797,331.10,1.46
3/31/2023,9:30:7,-12.1122398376,-76.9386215209,330.20,1.46
3/31/2023,9:30:10,-12.1122703552,-76.9386062622,330.40,1.46
3/31/2023,9:30:13,-12.1123104095,-76.9386215209,329.70,1.46
3/31/2023,9:30:16,-12.1123399734,-76.9386062622,329.20,1.46
3/31/2023,9:30:19,-12.1123695373,-76.9385681152,329.70,1.46
3/31/2023,9:30:22,-12.1124095916,-76.9385375976,329.60,1.46
3/31/2023,9:30:25,-12.1124496459,-76.9385299682,330.10,1.46
3/31/2023,9:30:28,-12.1124696731,-76.9384689331,330.60,1.46
3/31/2023,9:30:31,-12.1125097274,-76.9384536743,331.60,1.46
3/31/2023,9:30:34,-12.1125497817,-76.9384307861,332.50,1.46
3/31/2023,9:30:37,-12.1125898361,-76.9384307861,333.70,1.46
3/31/2023,9:30:40,-12.1126403808,-76.9384078979,334.40,1.46
3/31/2023,9:30:43,-12.1126804351,-76.9383773803,335.90,1.46
3/31/2023,9:30:46,-12.1127195358,-76.9383621215,338.10,1.46
3/31/2023,9:30:49,-12.1127700805,-76.9383316040,340.00,1.46
3/31/2023,9:30:52,-12.1127996444,-76.9382934570,340.50,1.46
3/31/2023,9:30:55,-12.1128301620,-76.9382629394,340.90,1.46
3/31/2023,9:30:58,-12.1128597259,-76.9382019042,342.20,1.46
3/31/2023,9:31:1,-12.1128902435,-76.9381484985,342.40,1.46
3/31/2023,9:31:4,-12.1129198074,-76.9381027221,342.80,1.46
3/31/2023,9:31:6,-12.1129398345,-76.9380722045,342.80,3.82
3/31/2023,9:31:10,-12.1129703521,-76.9380035400,343.10,3.82
3/31/2023,9:31:13,-12.1129999160,-76.9379730224,343.20,3.82
